,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,year,decade,total_ace,total_df,total_points,total_1stIn,total_2ndserve,total_1stWon,total_2ndWon,total_1st_perc,total_1st_win_perc,total_2nd_win_perc,aces_per_point,df_per_point
55012,1983-421,Canada Masters,Hard,56,M,19830808,55,100656,2.0,,Ivan Lendl,R,188.0,USA,23.4195756331,100757,,Q,Anders Jarryd,R,180.0,SWE,22.0698151951,6-2 6-2,3,F,,,,,,,,,,,,,,,,,,,,2.0,,83.0,,1983,1980s,,,,,,,,,,,,
55075,1983-422,Cincinnati Masters,Hard,64,M,19830815,63,101062,4.0,,Mats Wilander,R,183.0,SWE,18.9787816564,100581,1.0,,John McEnroe,L,180.0,USA,24.4928131417,6-4 6-4,3,F,,,,,,,,,,,,,,,,,,,,6.0,,1.0,,1983,1980s,,,,,,,,,,,,
55874,1983-605,Masters,Carpet,12,M,19840110,11,100581,,,John McEnroe,L,180.0,USA,24.8952772074,100656,,,Ivan Lendl,R,188.0,USA,23.8412046543,6-3 6-4 6-4,5,F,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,1983,1980s,,,,,,,,,,,,
58166,1984-416,Rome Masters,Clay,64,M,19840513,63,100653,5.0,,Andres Gomez,L,193.0,ECU,24.2108145106,101381,,,Aaron Krickstein,R,183.0,USA,16.7830253251,2-6 6-1 6-2 6-2,5,F,,,,,,,,,,,,,,,,,,,,7.0,,66.0,,1984,1980s,,,,,,,,,,,,
58386,1984-421,Canada Masters,Hard,56,M,19840813,55,100581,2.0,,John McEnroe,L,180.0,USA,25.4893908282,100342,8.0,,Vitas Gerulaitis,R,183.0,USA,30.0506502396,6-0 6-3,3,F,,,,,,,,,,,,,,,,,,,,1.0,,18.0,,1984,1980s,,,,,,,,,,,,
58449,1984-422,Cincinnati Masters,Hard,64,M,19840820,300,101062,3.0,,Mats Wilander,R,183.0,SWE,19.9945242984,100757,5.0,,Anders Jarryd,R,180.0,SWE,23.1047227926,7-6 6-3,3,F,,,,,,,,,,,,,,,,,,,,4.0,,15.0,,1984,1980s,,,,,,,,,,,,
59279,1984-605,Masters,Carpet,12,M,19850108,11,100581,,,John McEnroe,L,180.0,USA,25.8918548939,100656,,,Ivan Lendl,R,188.0,USA,24.8377823409,7-5 6-0 6-4,5,F,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,1984,1980s,,,,,,,,,,,,
61233,1985-403,Delray Beach,Hard,128,M,19850204,300,100689,,,Tim Mayotte,R,190.0,USA,24.5065023956,100855,,,Scott Davis,R,188.0,USA,22.4421629021,4-6 4-6 6-3 6-2 6-4,5,F,,,,,,,,,,,,,,,,,,,,45.0,,27.0,,1985,1980s,,,,,,,,,,,,
61678,1985-416,Rome Masters,Clay,64,M,19850513,63,100676,9.0,,Yannick Noah,R,193.0,FRA,24.9856262834,101036,7.0,,Miloslav Mecir,R,190.0,SVK,20.9828884326,6-3 3-6 6-2 7-6,5,F,,,,,,,,,,,,,,,,,,,,23.0,,16.0,,1985,1980s,,,,,,,,,,,,
61961,1985-421,Canada Masters,Hard,56,M,19850812,55,100581,1.0,,John McEnroe,L,180.0,USA,26.4859685147,100656,2.0,,Ivan Lendl,R,188.0,USA,25.4318959617,7-5 6-3,3,F,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,1985,1980s,,,,,,,,,,,,
